product_id,product_name,top_category,leaf_category,discounted_price,actual_price,discount_percentage,discount_amount,avg_rating_catalog,rating_count_catalog,embedded_user_count,embedded_review_count,review_content_length,est_gmv_proxy
B0B25LQQPC,"Crucial P3 500GB PCIe 3.0 3D NAND NVMe M.2 SSD, up to 3500MB/s - CT500P3SSD8",Computers&Accessories,InternalSolidStateDrives,3307.0,6100.0,0.46,2793.0,4.3,2515.0,8,8,2295,8317105.0
B0B2931FCV,"ZEBRONICS Zeb-Sound Bomb N1 True Wireless in Ear Earbuds with Mic ENC, Gaming Mode (up to 50ms), up to 18H Playback, BT V5.2, Fidget Case, Voice Assistant, Splash Proof, Type C (Midnight Black)",Electronics,In-Ear,999.0,4199.0,0.76,3200.0,3.5,1913.0,8,8,1060,1911087.0
B0B296NTFV,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",Computers&Accessories,Mice,299.0,599.0,0.5,300.0,4.1,1597.0,8,8,1208,477503.0
B0B298D54H,Prolet Classic Bumper Case Cover for Samsung Galaxy Watch 4 44mm TPU Plated Full Screen Protector (Black),Electronics,SmartWatches,265.0,999.0,0.73,734.0,3.7,465.0,8,8,1091,123225.0
B0B2C5MJN6,Hisense 126 cm (50 inches) Bezelless Series 4K Ultra HD Smart LED Google TV 50A6H (Black),Electronics,SmartTelevisions,32990.0,54990.0,0.4,22000.0,4.1,1555.0,8,8,902,51299450.0
B0B2CPVXHX,Robustrion Anti-Scratch & Smudge Proof Tempered Glass Screen Protector for Xiaomi Mi Pad 5 11 inch,Computers&Accessories,ScreenProtectors,379.0,1499.0,0.75,1120.0,4.1,670.0,8,8,582,253930.0
B0B2CWRDB1,Shakti Technology S5 High Pressure Car Washer Machine 1900 Watts and Pressure 125 Bar with 10 Meter Hose Pipe,Home&Kitchen,"PressureWashers,Steam&WindowCleaners",5999.0,9999.0,0.4,4000.0,4.2,170.0,8,8,624,1019830.0
B0B2CZTCL2,"Wipro Vesta 1.8 litre Cool touch electric Kettle with Auto cut off | Double Layer outer body | Triple Protection - Dry Boil, Steam & Over Heat |Stainless Steel Inner Body | (Black, 1500 Watt)",Home&Kitchen,Kettle&ToasterSets,1299.0,1999.0,0.35,700.0,3.8,311.0,8,8,1555,403989.0
B0B2DD66GS,"SanDisk Extreme microSD UHS I Card 128GB for 4K Video on Smartphones,Action Cams 190MB/s Read,90MB/s Write",Electronics,MicroSD,1329.0,2900.0,0.54,1571.0,4.5,19624.0,8,8,1749,26080296.0
B0B2DD8BQ8,Wipro Vesta Grill 1000 Watt Sandwich Maker |Dual function-SW Maker&Griller|Non stick Coat -BPA&PTFE Free |Auto Temp Cut-off| Height Control -180ᶿ&105ᶿ |2 year warranty|SS Finish|Standard size,Home&Kitchen,SandwichMakers,2079.0,3099.0,0.33,1020.0,4.1,282.0,8,8,1225,586278.0
