model,evaluation_users,precision_at_10,recall_at_10,hit_rate_at_10
User-based CF (binary cosine neighbors),4143,0.011368573497465607,0.045149603143180575,0.10403089548636255
Association-based recommender,4143,0.010620323437122858,0.04099500593276057,0.0967897658701424
Popularity baseline,4143,0.008472121650977552,0.03481064430451064,0.08158339367608014
Item-based CF (cosine on co-occurrence),4143,0.005623944001930968,0.02058518301513296,0.04972242336471156
