top_category,product_count,avg_rating,avg_polarity,avg_subjectivity,positive_share,neutral_share,negative_share,mismatch_share,mismatch_rank
Electronics,490,4.0777551020408165,0.32470590906494057,0.5436130869037439,0.9877551020408163,0.00816326530612245,0.004081632653061225,0.25918367346938775,2
Home&Kitchen,448,4.040715883668904,0.34931867731048427,0.5812051241821895,0.9709821428571429,0.029017857142857144,0.0,0.32589285714285715,1
Computers&Accessories,375,4.153866666666667,0.35911579627692003,0.5588259782375132,0.992,0.008,0.0,0.168,3
OfficeProducts,31,4.309677419354839,0.4234810244818336,0.5938451788108493,0.967741935483871,0.03225806451612903,0.0,0.03225806451612903,4
